Team,Player,PPG,APG,Conf
UC Irvine,Akiva McBirney-Griffin,2.5,0.4,BIG-WEST
UC San Diego,Trap Johnson,2.5,0.2,BIG-WEST
Cal Poly,Jason Scott,2.4,0.5,BIG-WEST
UC San Diego,Dimitrije Vukicevic,2.4,0.6,BIG-WEST
Long Beach State,Demarshay Johnson Jr.,2.4,0.7,BIG-WEST
UC Santa Barbara,Michael Simcoe,2.2,0.6,BIG-WEST
Long Beach State,Derrick Michael Xzavierro,2.2,0.3,BIG-WEST
Cal State Bakersfield,Dylan Purnell,2.1,0.3,BIG-WEST
Cal State Fullerton,Matthew Quinlan,2.1,0.0,BIG-WEST
UC San Diego,Cade Pendleton,2.1,0.6,BIG-WEST
UC Santa Barbara,Koat Keat Tong,1.9,0.4,BIG-WEST
Cal Poly,Aaron Price Jr.,1.8,0.3,BIG-WEST
UC Davis,Chase Rawlins,1.7,0.7,BIG-WEST
Hawaii,AJ Economou,1.7,0.1,BIG-WEST
UC Davis,Cyril Franklin Jr.,1.5,0.6,BIG-WEST
UC Irvine,Nes Emeneke,1.4,0.2,BIG-WEST
UC Riverside,Denzel Hines,1.3,0.5,BIG-WEST
UC Irvine,Tishan Ahir,1.1,0.0,BIG-WEST
Hawaii,Hunter Carter,1.1,0.2,BIG-WEST
Cal State Fullerton,Benjamin Winker,1.0,0.4,BIG-WEST
UC Irvine,Ben Egbo,1.0,0.5,BIG-WEST
UC Santa Barbara,Kyle Haughy,1.0,0.0,BIG-WEST
UC Santa Barbara,Luke Zuffelato,1.0,0.3,BIG-WEST
Cal State Bakersfield,TJ James Jr.,0.9,0.2,BIG-WEST
Cal State Northridge,Robert Thibiant,0.9,0.0,BIG-WEST
UC San Diego,Ryder Elisaldez,0.9,0.5,BIG-WEST
Long Beach State,JJ Chaikovsky,0.9,0.3,BIG-WEST
Cal Poly,Eric Brown,0.8,0.0,BIG-WEST
UC Riverside,EJ Spillman,0.8,0.3,BIG-WEST
UC Davis,Abdullah Amzil,0.5,0.3,BIG-WEST
UC San Diego,Christopher Cox,0.5,0.0,BIG-WEST
Cal State Northridge,Greg Gazarian,0.4,0.1,BIG-WEST
UC Davis,Jonathan Noudjihidi,0.3,0.3,BIG-WEST
UC Riverside,Daniel Tobiloba,0.3,0.0,BIG-WEST
UC Santa Barbara,Isaac Shingange,0.3,1.0,BIG-WEST
Cal State Northridge,Joseph Barrio,0.0,0.0,BIG-WEST
UC San Diego,Yaqub Mir,0.0,0.0,BIG-WEST
UC Santa Barbara,John Simcoe,0.0,0.0,BIG-WEST
Cornell,Cooper Noard,18.8,1.9,IVY
Columbia,Kenny Noland,17.1,3.6,IVY
Harvard,Robert Hinton,17.1,2.0,IVY
Pennsylvania,Ethan Roberts,16.9,2.5,IVY
Brown,Landon Lewis,16.8,1.8,IVY
Cornell,Jake Fiegen,16.6,2.2,IVY
Yale,Nick Townsend,16.5,4.2,IVY
Dartmouth,Kareem Thomas,16.4,1.5,IVY
Pennsylvania,TJ Power,15.7,2.4,IVY
Princeton,Jackson Hicke,15.6,2.4,IVY
Princeton,Dalen Davis,14.9,2.4,IVY
Harvard,Tey Barbour,13.4,1.4,IVY
Columbia,Zinou Eddine Bedri,12.8,2.2,IVY
Harvard,Chandler Pigge,12.6,3.2,IVY
Harvard,Thomas Batties II,12.4,2.4,IVY
Yale,Isaac Celiscar,12.4,3.0,IVY
Cornell,Adam Tsang Hinton,12.3,2.0,IVY
Dartmouth,Brandon Mitchell-Day,11.8,2.3,IVY
Pennsylvania,Michael Zanoni,11.7,0.7,IVY
Dartmouth,Jayden Williams,11.4,1.1,IVY
Columbia,Blair Thompson,11.2,1.2,IVY
Yale,Riley Fox,11.1,0.7,IVY
Princeton,Jack Stanton,10.9,1.7,IVY
Yale,Trevor Mullin,10.9,2.8,IVY
Yale,Casey Simmons,10.2,1.0,IVY
Dartmouth,Connor Amundsen,9.7,3.7,IVY
Princeton,Malik Abdullahi,9.6,1.3,IVY
Brown,Adrian Uchidiuno,9.3,1.1,IVY
Columbia,Miles Franklin,9.3,0.9,IVY
Columbia,Gerard O'Keefe,8.7,1.1,IVY
Brown,Isaiah Langham,8.5,0.9,IVY
Brown,Jeremiah Jenkins,8.3,5.2,IVY
Pennsylvania,AJ Levine,8.3,3.9,IVY
Yale,Samson Aletan,8.2,1.1,IVY
Columbia,Connor Igoe,8.1,3.0,IVY
Dartmouth,Jackson Munro,8.0,2.0,IVY
Cornell,Josh Baldwin,7.5,3.0,IVY
Columbia,Mason Ritter,7.4,1.7,IVY
Brown,N'famara Dabo,7.2,1.0,IVY
Harvard,Austin Hunt,7.2,1.1,IVY
Brown,Luke Paragon,7.0,0.6,IVY
Cornell,Jacob Beccles,7.0,3.0,IVY
Princeton,CJ Happy,6.8,1.6,IVY
Yale,Jordan Brathwaite,6.7,0.8,IVY
Brown,Brady Loughlin,6.5,0.7,IVY
Brown,David Rochester,6.2,1.6,IVY
Pennsylvania,Dalton Scantlebury,6.1,0.6,IVY
Columbia,Ryan Soulis,6.0,1.5,IVY
Pennsylvania,Augustus Gerhart,6.0,1.0,IVY
Princeton,Landon Clark,5.8,1.9,IVY
Cornell,Anthony Nimani,5.5,1.8,IVY
Dartmouth,Cameron McNamee,5.5,0.7,IVY
Dartmouth,Niko Abusara,5.1,1.4,IVY
Pennsylvania,Cam Thrower,5.1,1.3,IVY
Harvard,Ben Eisendrath,5.0,3.0,IVY
Cornell,Ian Imegwu,4.9,0.9,IVY
Cornell,Kaspar Sepp,4.9,2.7,IVY
Princeton,Jacob Huggins,4.8,1.6,IVY
Brown,Charlie OSullivan,4.4,0.8,IVY
Columbia,Avery Brown,4.3,0.3,IVY
Columbia,Hampton Sanders,4.3,2.3,IVY
Brown,Malcolm Wrisby-Jefferson,4.2,2.8,IVY
Cornell,Mateen Rafiq,4.1,1.5,IVY
Cornell,Ty Iwanonkiw,4.0,0.7,IVY
Dartmouth,Anton Strelnikov,4.0,0.2,IVY
Cornell,Gioacchino Panzini,3.8,0.6,IVY
Pennsylvania,Jay Jones,3.8,1.1,IVY
Dartmouth,Cameron Hiatt,3.7,1.2,IVY
Cornell,DJ Nix,3.6,0.9,IVY
Princeton,Sebastian Whitfield,3.5,0.5,IVY
Cornell,Corbin Zentner,3.3,0.8,IVY
Pennsylvania,Lucas-Allan Lueth,3.2,0.5,IVY
Columbia,Richard Nweke,3.0,0.5,IVY
Dartmouth,Shanon Simango,3.0,0.1,IVY
Brown,Jonah Drezner,2.8,0.5,IVY
Cornell,Jax Abalos,2.8,0.3,IVY
Yale,Devon Arlington,2.8,1.7,IVY
Cornell,Ryan Burbach,2.6,0.2,IVY
Yale,Daniel Ogunyemi,2.6,0.3,IVY
Cornell,DaMaryon Fishburn,2.5,1.5,IVY
Pennsylvania,William Kruse,2.5,0.0,IVY
Yale,Courtney Wallace Jr.,2.5,0.9,IVY
Brown,Wyatt DeGraaf,2.4,0.3,IVY
Dartmouth,Ben Brown,2.3,0.1,IVY
Princeton,Jacob Hammond,2.3,0.2,IVY
Princeton,Jake Sussberg,2.3,0.2,IVY
Dartmouth,Tyler Garrett,2.2,0.4,IVY
Pennsylvania,Michelangelo Oberti,2.2,0.1,IVY
Harvard,Kenan Parrish,2.1,0.1,IVY
Pennsylvania,Dylan Williams,2.1,1.6,IVY
Princeton,Peyton Seals,2.1,0.2,IVY
Harvard,Frankie Mannino,2.0,0.5,IVY
Pennsylvania,Alex Massung,1.9,0.5,IVY
Yale,Jack Sullivan,1.9,0.2,IVY
Columbia,Josiah Cunningham,1.8,0.2,IVY
Yale,Alvin Loving,1.8,0.5,IVY
Princeton,Cooper Mueller,1.5,0.0,IVY
Columbia,Leland Coleman,1.4,0.3,IVY
Brown,Drew Kania,1.3,0.1,IVY
Harvard,Ryan Sullivan,1.3,0.2,IVY
Harvard,Dutch Dowdell,1.1,0.1,IVY
Harvard,Luca Ace-Nasteski,1.1,0.3,IVY
Pennsylvania,Niklas Polonowski,1.1,0.1,IVY
Dartmouth,Patrick Tivnan Jr.,1.0,0.4,IVY
Harvard,Greg Cooper,1.0,0.0,IVY
Pennsylvania,Payton Kamin,1.0,0.3,IVY
Yale,Jeannot Basima,1.0,0.4,IVY
Princeton,Zio Kim,0.9,0.1,IVY
Princeton,Cash McSweeney,0.8,1.0,IVY
Cornell,AJ LaBeau,0.7,1.0,IVY
Harvard,Xavier Nesbitt,0.7,0.3,IVY
Pennsylvania,Johnnie Walter,0.7,0.0,IVY
Princeton,Ryan Mandes,0.3,0.0,IVY
Columbia,Edwin Bai,0.0,0.0,IVY
Dartmouth,Khai Lockwood,0.0,0.4,IVY
Harvard,Avner Dror,0.0,0.0,IVY
Harvard,Joseph Quartey,0.0,0.1,IVY
Harvard,Payton Pitts,0.0,0.0,IVY
Pennsylvania,Bradyn Foster,0.0,0.0,IVY
Princeton,Lucas Denault,0.0,0.0,IVY
Princeton,William Kutzler,0.0,0.2,IVY
Yale,Jacob Tsai,0.0,0.0,IVY
Howard,Bryce Harris,17.5,2.5,MEAC
Howard,Cedric Taylor III,17.4,3.4,MEAC
Morgan State,Alfred Worrell Jr.,17.4,1.2,MEAC
North Carolina Central,Gage Lattimore,17.2,2.5,MEAC
Norfolk State,Anthony McComb III,17.0,1.4,MEAC
Norfolk State,Elijah Jamison,14.3,3.0,MEAC
Morgan State,Elijah Davis,13.7,6.0,MEAC
Delaware State,Ponce James,13.6,3.4,MEAC
North Carolina Central,Khouri Carvey,13.6,1.5,MEAC
South Carolina State,Jayden Johnson,13.0,3.5,MEAC
Morgan State,Rob Lawson,12.7,4.0,MEAC
Norfolk State,Devon Ellis,11.0,1.5,MEAC
South Carolina State,"Owen Bronston, Jr.",10.7,0.6,MEAC
Coppin State,Demariontay Hall,10.6,0.5,MEAC
Maryland Eastern Shore,Zion Obanla,10.4,1.0,MEAC
Howard,Ose Okojie,10.3,1.7,MEAC
Howard,Cam Gillus,10.0,4.8,MEAC
Delaware State,Miles Webb,9.3,0.8,MEAC
Maryland Eastern Shore,Joseph Locandro,9.3,0.5,MEAC
South Carolina State,Noah Treadwell,9.3,0.7,MEAC
Maryland Eastern Shore,Dorion Staples,9.2,1.7,MEAC
Howard,Travelle Bryson,9.0,0.9,MEAC
Morgan State,Walter Peggs Jr.,9.0,0.7,MEAC
Howard,Alex Cotton,8.8,1.2,MEAC
North Carolina Central,Jae Slack,8.6,0.7,MEAC
South Carolina State,Cameron Clark,8.6,0.9,MEAC
Maryland Eastern Shore,Jaden Cooper,8.2,1.8,MEAC
Delaware State,Camian Shell,8.0,1.9,MEAC
North Carolina Central,Dionte Johnson,7.9,5.2,MEAC
North Carolina Central,Kelechi Okworogwo,7.8,0.4,MEAC
South Carolina State,James Morrow,7.8,1.1,MEAC
North Carolina Central,Kyric Davis,7.7,1.0,MEAC
Coppin State,Khali Horton,7.4,0.9,MEAC
Delaware State,Corey Perkins,7.4,3.0,MEAC
Coppin State,Hussain Williams,7.3,0.8,MEAC
Morgan State,Eugene Alvin,7.3,0.4,MEAC
South Carolina State,Christopher Parker,7.3,0.7,MEAC
Delaware State,Ademar Santos,7.1,0.5,MEAC
North Carolina Central,Tekao Carpenter,7.1,1.4,MEAC
Coppin State,Jamari Piercy,6.8,0.8,MEAC
South Carolina State,Florian Tenebay,6.7,1.9,MEAC
Coppin State,Hassan Perkins,6.6,2.9,MEAC
Coppin State,Nelson Lamizana,6.6,0.9,MEAC
Coppin State,Taj Thweatt,6.0,0.4,MEAC
Delaware State,Rahmir Moore,6.0,1.0,MEAC
Morgan State,Christian Meeks,5.9,0.9,MEAC
Delaware State,Zion Bethea,5.8,0.7,MEAC
Maryland Eastern Shore,Justin Monden,5.8,1.5,MEAC
Maryland Eastern Shore,Michael Teal,5.8,3.5,MEAC
Coppin State,Camaren Sparrow,5.7,1.5,MEAC
Norfolk State,Keyontae Lewis,5.7,0.4,MEAC
Norfolk State,My'kel Jenkins,5.7,1.0,MEAC
Norfolk State,Jordan Leaks,5.4,1.5,MEAC
Coppin State,Torrin Andrews,5.3,1.6,MEAC
Coppin State,Tyler Koenig,5.3,0.4,MEAC
Maryland Eastern Shore,Christopher Flippin,5.1,0.7,MEAC
Norfolk State,Dian Wright-Forde,5.0,1.2,MEAC
Norfolk State,Jaquel Morris,4.7,0.2,MEAC
Norfolk State,Rodney Baines,4.6,0.1,MEAC
Coppin State,Chrisdon Morgan,4.5,0.6,MEAC
Morgan State,Christian Oliver,4.4,0.4,MEAC
North Carolina Central,Jonathan Dunn,4.3,0.5,MEAC
Delaware State,Kareem Watson,4.1,0.3,MEAC
Howard,Danas Kazakevicius,4.1,1.1,MEAC
Morgan State,Marland Harris,4.1,0.3,MEAC
Delaware State,Dean Shepherd,4.0,0.5,MEAC
Norfolk State,Adrean Newton,4.0,2.2,MEAC
Morgan State,Trent Edwards,3.5,0.0,MEAC
South Carolina State,Rayniel Wright,3.5,1.9,MEAC
Maryland Eastern Shore,Trey Brown,3.4,1.3,MEAC
Delaware State,Jalen StClair,3.3,1.1,MEAC
Coppin State,Baasil Saunders,3.2,0.7,MEAC
Delaware State,Bessanty Saragba,3.2,0.2,MEAC
Morgan State,David Bumpass,3.2,0.2,MEAC
North Carolina Central,Ryan Archey,3.2,0.8,MEAC
South Carolina State,D'Shay Wright,3.1,0.6,MEAC
Coppin State,Favour Aire,2.8,0.4,MEAC
Howard,Isaiah Brown,2.8,1.6,MEAC
Maryland Eastern Shore,Maurio Hanson Jr.,2.8,0.5,MEAC
South Carolina State,Colin McKenzie,2.7,0.3,MEAC
Delaware State,Cyril Obasogie,2.6,0.2,MEAC
Delaware State,John Clemmons,2.6,0.0,MEAC
North Carolina Central,Ramondo Battle II,2.5,0.4,MEAC
South Carolina State,Teon Tindal,2.5,0.3,MEAC
South Carolina State,Derwin Hodge,2.4,1.0,MEAC
Coppin State,Daveyon Lydner,2.3,1.6,MEAC
Maryland Eastern Shore,Maurice Vassel,2.1,0.1,MEAC
Norfolk State,Mekhi Reid,2.0,0.1,MEAC
Howard,Eddie Holland III,1.9,0.4,MEAC
Maryland Eastern Shore,Levi Beckwith,1.9,0.6,MEAC
Maryland Eastern Shore,Trey Hall,1.9,0.5,MEAC
Morgan State,Manok Lual,1.8,0.1,MEAC
Coppin State,Josiah Brown,1.7,0.3,MEAC
Howard,Calvin Robins,1.7,0.1,MEAC
Maryland Eastern Shore,Javoy Thompson,1.7,0.3,MEAC
Norfolk State,Ahmad Torrence,1.7,0.0,MEAC
North Carolina Central,Khalil Arnold,1.7,0.1,MEAC
South Carolina State,Jamal Miles,1.7,0.3,MEAC
Howard,BJ Powell,1.6,0.3,MEAC
Morgan State,Dallas James,1.6,0.0,MEAC
Delaware State,Muazibini Adamu,1.5,0.3,MEAC
Howard,Jeremiah Johnson,1.4,0.4,MEAC
Delaware State,Omar Stephen,1.3,0.0,MEAC
Howard,Julian Johnson,1.3,0.1,MEAC
Maryland Eastern Shore,Jaden Johnson,1.0,0.7,MEAC
North Carolina Central,Caleb Ellison,1.0,0.0,MEAC
North Carolina Central,Camren Daniels,1.0,0.2,MEAC
Morgan State,Matar Wade,0.9,0.1,MEAC
Norfolk State,Yel Deeng,0.9,0.1,MEAC
South Carolina State,Tim Okojie,0.9,0.1,MEAC
Howard,Shane Frazier,0.8,0.1,MEAC
Howard,Stefan Isailovic,0.8,0.0,MEAC
Morgan State,Jayden Socka,0.7,0.5,MEAC
North Carolina Central,Justin Edwards,0.7,0.8,MEAC
North Carolina Central,Gbenga Olubi,0.4,0.1,MEAC
Howard,River Smith,0.3,0.1,MEAC
Morgan State,Breon Barnett,0.3,0.2,MEAC
Norfolk State,Dramane Camara,0.0,0.0,MEAC
Central Connecticut State,Darin Smith Jr.,20.7,1.2,NEC
Saint Francis (PA),Skylar Wicks,17.8,2.8,NEC
Mercyhurst,Bernie Blunt III,17.5,2.2,NEC
LIU,Jamal Fuller,16.5,2.5,NEC
Le Moyne,Shilo Jackson,15.8,2.1,NEC
New Haven,Jabri Fitzpatrick,15.0,2.6,NEC
Wagner,Nick Jones,14.4,2.5,NEC
LIU,Malachi Davis,14.2,3.5,NEC
Mercyhurst,Jake Lemelman,14.1,3.1,NEC
LIU,Greg Gordon,13.6,2.9,NEC
Chicago State,CJ Ray,13.5,1.5,NEC
Le Moyne,Trent Mosquera,13.5,2.3,NEC
Stonehill,Davante Hackett,13.4,1.5,NEC
Stonehill,Hermann Koffi,13.1,1.3,NEC
Chicago State,Marcus Tankersley,13.0,2.5,NEC
Saint Francis (PA),Zion Russell,12.4,2.9,NEC
FDU,Joey Niesman,12.3,3.2,NEC
Central Connecticut State,Max Frazier,12.0,0.9,NEC
Chicago State,Doyel Cockrill III,11.8,2.0,NEC
Mercyhurst,Qadir Martin,11.4,1.0,NEC
Stonehill,Chas Stinson,11.4,1.6,NEC
New Haven,Najimi George,11.2,1.6,NEC
Central Connecticut State,Jay Rodgers,11.0,6.9,NEC
Le Moyne,Deng Garang,10.8,1.0,NEC
FDU,Eric Parnell,10.7,0.7,NEC
Le Moyne,Jakai Sanders,10.7,4.3,NEC
New Haven,Andre Pasha,10.7,1.8,NEC
LIU,Jomo Goings,10.4,2.3,NEC
FDU,Taeshaud Jackson,10.3,1.6,NEC
Stonehill,Will Batchelder,10.3,1.3,NEC
Chicago State,Stephen Byard,9.8,0.8,NEC
Le Moyne,Tennessee Rainwater,9.8,1.7,NEC
Central Connecticut State,Melo Sanchez,9.6,0.8,NEC
Saint Francis (PA),Chris Moncrief,9.5,1.8,NEC
Wagner,Jaden Baker,9.3,3.2,NEC
Wagner,Sam Smith,9.0,0.6,NEC
Wagner,Binael Basil,8.9,1.1,NEC
FDU,Arthur Cox,8.8,1.3,NEC
Wagner,Travis Gray,8.8,0.5,NEC
Wagner,Eduardo Placer,8.6,1.3,NEC
Chicago State,Braelon Bush,8.5,3.1,NEC
Saint Francis (PA),Ahmad Harrison,8.2,2.3,NEC
FDU,Cyril Martynov,8.1,2.3,NEC
LIU,Mason Porter-Brown,7.6,0.7,NEC
Mercyhurst,Mykolaus Ivanauskas,7.6,0.5,NEC
Le Moyne,Ametri Moss,7.5,4.5,NEC
Wagner,John Awoke,7.4,2.0,NEC
Saint Francis (PA),Gestin Liberis,7.3,1.0,NEC
Stonehill,Ridvan Tutic,7.1,1.1,NEC
Wagner,Zavier Fitch,7.1,1.1,NEC
New Haven,Kheni Briggs,6.9,1.2,NEC
Saint Francis (PA),Victor Payne,6.8,1.1,NEC
Saint Francis (PA),Ralph Martino Jr.,6.7,1.4,NEC
FDU,David Jevtic,6.6,1.2,NEC
Stonehill,Ethan Meuser,6.4,1.3,NEC
Stonehill,Raymond Espinal-Guzman,6.3,1.4,NEC
New Haven,Stefano Faloppa,6.2,1.3,NEC
Wagner,Bryan Akanamu,6.2,1.4,NEC
FDU,Noah Melson,6.0,0.5,NEC
Mercyhurst,Deshaun Jackson Jr.,5.9,2.9,NEC
LIU,Shadrak Lasu,5.1,0.4,NEC
Wagner,Michael Cooper,5.0,0.7,NEC
Chicago State,Chauncey Gibson,4.9,1.2,NEC
Le Moyne,Samuel Hincapie,4.9,0.7,NEC
Central Connecticut State,Gabe Spinelli,4.7,1.1,NEC
Stonehill,Rex Sunderland,4.7,3.3,NEC
FDU,Raysean Johnson,4.6,0.7,NEC
Saint Francis (PA),Paris Papadatos,4.6,0.4,NEC
New Haven,Maison Adeleye,4.5,1.0,NEC
Central Connecticut State,Roddy Jones,4.3,0.1,NEC
Central Connecticut State,James Jones,4.2,1.2,NEC
Le Moyne,Jakob Blakley,4.2,0.6,NEC
LIU,Isaiah Miranda,4.2,0.2,NEC
Mercyhurst,Christian Gamble,4.2,2.2,NEC
New Haven,Teshaun Steele,3.9,0.9,NEC
Central Connecticut State,Ashton Reynolds,3.7,0.3,NEC
Saint Francis (PA),Cameron Tweedy,3.7,0.4,NEC
Central Connecticut State,Daniel Etiosa James,3.5,0.4,NEC
Mercyhurst,Kaden Fuhrmann,3.5,0.7,NEC
Stonehill,Trenton Ruth,3.5,1.3,NEC
Wagner,Makhai Anderson,3.5,0.4,NEC
Central Connecticut State,Ja'Kobe Williams,3.3,2.0,NEC
Central Connecticut State,Nico Ashley,3.3,0.6,NEC
Chicago State,Dailliss Cox,3.1,0.2,NEC
LIU,Faheim Meran,3.1,1.1,NEC
Chicago State,Malek Robinson,3.0,0.9,NEC
Mercyhurst,Cameron Johnson,3.0,0.5,NEC
Le Moyne,Trevor Roe,2.9,0.2,NEC
New Haven,Aidan Losiewicz,2.9,0.3,NEC
Chicago State,Corey Sands,2.8,0.6,NEC
Chicago State,Lionel Larvadain,2.8,0.7,NEC
Stonehill,Pearse McGuinn,2.8,0.3,NEC
New Haven,Dominick LaDuca,2.7,0.0,NEC
New Haven,Timothy Coleman,2.7,1.0,NEC
Le Moyne,Eli Greenberg,2.6,1.6,NEC
LIU,Caleb Johnson,2.6,0.6,NEC
New Haven,Vere Anthony,2.6,1.2,NEC
Wagner,Huascar Cuevas,2.6,0.6,NEC
Saint Francis (PA),Trey Weiand,2.5,0.1,NEC
Stonehill,Anthony Holden,2.5,0.4,NEC
Central Connecticut State,Elijah Parker,2.4,1.1,NEC
New Haven,Zoumana Traore,2.3,0.4,NEC
LIU,Tre'shawn Sheppard,2.2,0.3,NEC
Chicago State,Joseph Owens,2.1,0.2,NEC
Saint Francis (PA),Brandon Russell,2.1,0.9,NEC
Le Moyne,Isaac Nyakundi,2.0,0.3,NEC
LIU,AJ Neal,2.0,0.8,NEC
Saint Francis (PA),KJ Swain,2.0,0.6,NEC
Saint Francis (PA),Ryen Gresko,2.0,0.0,NEC
Central Connecticut State,Jayden Mott,1.9,0.3,NEC
Chicago State,CJ Delancy,1.7,0.3,NEC
New Haven,Dior Kennedy,1.7,0.8,NEC
New Haven,Tristan Burth,1.6,0.2,NEC
Wagner,Elijah Brown,1.6,0.1,NEC
Central Connecticut State,Adam Fox,1.5,1.0,NEC
Mercyhurst,James Thomas,1.5,0.5,NEC
Le Moyne,Josiah Lee,1.4,0.3,NEC
FDU,Josiah Francis,1.3,0.0,NEC
FDU,Ras Elijah Godbolt,1.3,0.9,NEC
New Haven,Kyle Kearson,1.3,0.4,NEC
Mercyhurst,Christopher Leman,1.2,0.2,NEC
Mercyhurst,Or Faran Frenkel,1.1,0.2,NEC
Saint Francis (PA),Carson Rhodes,1.0,0.0,NEC
Stonehill,Eino Montin,1.0,0.0,NEC
Mercyhurst,Sean Lang,0.9,1.0,NEC
Chicago State,Daniel Zatsepin,0.8,0.1,NEC
Chicago State,Deshawn Jean-Charles,0.8,0.5,NEC
LIU,Max Ndlovu-Fraser,0.8,0.7,NEC
LIU,Xinyi Li,0.8,0.0,NEC
Mercyhurst,Vladimir Pavlovic,0.8,0.4,NEC
Stonehill,Norbu Jenpa,0.8,0.2,NEC
Le Moyne,Kaelin Thomas,0.7,0.0,NEC
New Haven,Jagger Bascombe,0.7,0.3,NEC
Saint Francis (PA),Melvin Weaver III,0.7,0.0,NEC
Chicago State,Dakari Thomas,0.6,0.0,NEC
FDU,Sebastian Haubro,0.6,0.2,NEC
Le Moyne,Sam Donnelly,0.6,0.0,NEC
Stonehill,Charlie Diamantis,0.6,0.4,NEC
Stonehill,Cory Lovell,0.6,0.1,NEC
FDU,Cole Alexander,0.5,0.0,NEC
FDU,Tyler McQuaid,0.3,0.0,NEC
Mercyhurst,Brady Conner,0.3,0.5,NEC
FDU,Chidube Ekwommadu,0.0,0.0,NEC
LIU,Eddie Munyak,0.0,0.0,NEC
New Haven,Nathan Narcisse,0.0,0.0,NEC
Saint Francis (PA),Brandon Rabish,0.0,0.0,NEC
Stonehill,Colin Byrne,0.0,0.5,NEC
Tennessee State,Aaron Nkrumah,17.7,2.9,OVC
Lindenwood,Anias Futrell,17.4,2.0,OVC
Tennessee State,Travis Harper II,17.4,1.2,OVC
SIU Edwardsville,Ring Malith,17.0,1.5,OVC
Little Rock,Johnathan Lawson,16.2,4.1,OVC
Lindenwood,Jadis Jones,15.3,2.6,OVC
Lindenwood,Dontrez Williams,15.2,2.1,OVC
Southern Indiana,Ismail Habib,14.7,2.8,OVC
Western Illinois,Lucas Lorenzen,14.7,0.9,OVC
Eastern Illinois,Zion Fruster,14.5,2.3,OVC
Southeast Missouri State,Luke Almodovar,14.1,0.7,OVC
Southern Indiana,Amaree Brown,13.8,1.2,OVC
UT Martin,Dragos Lungu,13.8,2.8,OVC
Morehead State,George Marshall,13.7,1.9,OVC
UT Martin,Andrija BukumiroviÄ,13.6,1.0,OVC
Little Rock,Cameron Wallace,12.7,1.8,OVC
Southern Indiana,Cardell Bailey,12.6,0.7,OVC
UT Martin,Matas Deniusas,12.6,1.5,OVC
Lindenwood,Milos Nenadic,12.0,1.1,OVC
Southern Indiana,Trey Thomas,11.8,1.0,OVC
Little Rock,Kachi Nzeh,11.7,1.3,OVC
Southeast Missouri State,Braxton Stacker,11.7,1.4,OVC
Tennessee State,Dante Harris,11.7,4.6,OVC
Morehead State,Davion Cunningham,11.6,2.0,OVC
Morehead State,Jon Carroll,11.4,0.7,OVC
Southeast Missouri State,Brendan Terry,11.3,2.1,OVC
Tennessee Tech,JaJuan Nicholls,11.2,0.4,OVC
Tennessee Tech,Mekhi Cameron,11.2,1.2,OVC
Eastern Illinois,Kooper Jacobi,11.1,1.8,OVC
Southeast Missouri State,BJ Ward,11.1,3.6,OVC
Southern Indiana,Kaden Brown,11.1,1.6,OVC
SIU Edwardsville,Myles Thompson,10.8,1.4,OVC
Tennessee Tech,Dani Pounds,10.6,0.7,OVC
Western Illinois,Isaiah Griffin,10.6,1.1,OVC
Eastern Illinois,Andre Washington,10.5,1.1,OVC
Eastern Illinois,Meechie White,10.5,3.1,OVC
Little Rock,Braxton Bayless,10.3,3.3,OVC
SIU Edwardsville,Tyler King,9.9,1.0,OVC
UT Martin,Filip RadakoviÄ,9.6,2.7,OVC
Little Rock,Tuongthach Gatkek,9.4,2.0,OVC
Southeast Missouri State,Marqueas Bell,9.2,1.8,OVC
Tennessee State,Antoine Lorick III,9.1,1.0,OVC
Tennessee Tech,Brandon Muntu,9.1,0.8,OVC
SIU Edwardsville,Arnas Sakenis,8.8,0.6,OVC
Morehead State,Chase Dawson,8.4,2.9,OVC
Western Illinois,Karyiek Dixon,8.4,0.7,OVC
SIU Edwardsville,Jack Campion,8.2,5.2,OVC
Eastern Illinois,JT Elder,8.0,0.0,OVC
Western Illinois,Antwaun Massey,8.0,0.9,OVC
Eastern Illinois,Preston Turner,7.7,0.9,OVC
Morehead State,Josiah LeGree,7.7,3.4,OVC
Eastern Illinois,Terry McMorris,7.6,1.5,OVC
Little Rock,Terrion Burgess,7.5,1.2,OVC
Morehead State,Anouar Mellouk,7.4,0.9,OVC
Western Illinois,Francis Okwuosah,7.4,0.5,OVC
SIU Edwardsville,Darrion Baker,7.3,0.7,OVC
Lindenwood,Clayton Jackson,7.1,2.6,OVC
Southern Indiana,Tolu Samuels,7.1,1.3,OVC
UT Martin,Pedro Santos,6.9,0.7,OVC
Tennessee Tech,Ja'Quavian Florence,6.8,1.5,OVC
Tennessee Tech,Ty Owens,6.8,3.7,OVC
SIU Edwardsville,Kyle Thomas,6.7,0.4,OVC
Southern Indiana,Ola Ajiboye,6.6,0.8,OVC
Tennessee State,Jalen Pitre,6.6,0.9,OVC
UT Martin,Afan Trnka,6.5,2.4,OVC
Lindenwood,Mekhi Cooper,6.4,3.9,OVC
Tennessee State,Khalil London,6.4,1.1,OVC
SIU Edwardsville,Jo Valrie,6.3,0.4,OVC
Little Rock,Truman Claytor IV,6.1,0.7,OVC
Morehead State,Tamaury Releford,5.9,0.2,OVC
Tennessee State,Carlous Williams,5.5,0.6,OVC
Western Illinois,Danny Stephens,5.5,0.5,OVC
